what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358977581213
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1358977581219
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1358977581219
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358977583545
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358977587021
opened,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.GenericHistoryView",1358977587067
opened,view,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui.views.repositories",1358977587123
activated,perspective,,,"<SVN_Repository_Exploring>",1358977587156
activated,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui.GenericHistoryView",1358977587163
activated,view,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui.views.repositories",1358977589964
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1358977590629
started,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1358977590656
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.core",1358977590694
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358977590775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358977595322
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1358977595331
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358977597505
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358977603156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1358977603162
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358977605184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358977615525
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1358977615534
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1358977620258
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1358977620263
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358977628699
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358977636030
activated,perspective,,,"<SVN_Repository_Exploring>",1358977636059
activated,view,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui.views.repositories",1358977636071
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1358977636106
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1358977636106
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358977640850
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358977645250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358977651500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358977655099
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358977661067
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1358977669821
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1358977669835
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20110510,"org.eclipse.equinox.p2.transport.ecf",1358977669885
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1358977669889
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1358977669905
